Protein_A,Protein_B,label
Q05519,Q8WXF0,1
P21399,Q05519,0
Q07955,Q13243,1
P52597,Q9Y2T7,0
O95218,O95758,0
O75152,Q14151,1
P79522,Q7Z2W4,1
P26368,Q9BRA0,0
Q08170,Q8WXF0,1
Q969L4,Q9H361,0
O15047,Q9NR90,0
Q08170,Q9Y2T7,1
Q7Z2W4,Q9H9Z2,1
Q15397,Q9H9Z2,1
P57052,Q86SG3,0
Q6ZN04,Q9BTD8,0
P08621,P63162,1
Q13117,Q9BRA0,0
Q07955,Q7Z2W4,1
Q8N5P1,Q9Y2T7,1
P84103,Q9BX46,0
O60812,O75152,1
Q07955,Q13243,1
O15042,Q16629,0
Q8WXA9,Q9UNW9,0
Q08170,Q96K80,1
P08621,Q8WVV9,0
P09012,P63162,1
Q08170,Q96K80,1
P52597,Q9NQS3,0
P48200,Q86V81,1
A6NDE4,Q92879,0
A6NDE4,Q9BRL6,0
O75152,Q14151,1
Q8WXF0,Q9H9Z2,1
O15047,Q9BX46,0
P08621,P09012,1
Q7Z2W4,Q9BYG3,1
Q13243,Q7Z2W4,1
P41214,Q9NWB1,0
O43251,Q8WVV9,0
Q05519,Q8WXF0,1
O15504,Q4VXU2,0
P84103,Q8WXF0,1
Q13064,Q9Y2T7,0
P09012,P63162,1
P79522,Q8N5P1,1
Q15397,Q9H9Z2,1
Q7Z2W4,Q86TM3,0
Q15397,Q9H9Z2,1
Q92879,Q9BRL6,0
Q9BWF3,Q9NQS3,0
Q8WXF0,Q9H9Z2,1
Q8N5P1,Q9NXG2,1
O60812,O75152,1
P48200,Q9H9Z2,1
P09012,Q9BRA0,0
P60484,Q96J87,0
Q9BYG3,Q9Y2T7,1
Q9BYG3,Q9Y2T7,1
Q15415,Q9Y2T7,0
O75494,Q9UPT8,0
O60812,P04406,0
O60812,O75152,1
O75152,Q14151,1
P84103,Q08170,1
Q13243,Q15397,1
Q15415,Q8IWZ8,0
O75494,P26651,0
Q07955,Q8N5P1,1
Q7Z2T5,Q9UPN6,0
Q7Z2W4,Q96K80,1
P84103,Q08170,1
Q8N5P1,Q9Y2T7,1
Q13243,Q15415,0
O75152,Q14151,1
Q7Z2W4,Q9BYG3,1
O14979,O15042,0
P57052,Q16587,0
P21399,Q460N5,0
P04406,Q8WXA9,0
O15541,Q460N5,0
P84103,Q08170,1
P48200,Q9H9Z2,1
P08621,P09012,1
O75152,P84103,1
O75152,Q96K80,0
O15541,Q9UPT8,0
P48200,Q8IWZ8,0
P48200,Q9H9Z2,1
Q8N5P1,Q9H9Z2,1
Q7Z2W4,Q9H9Z2,1
Q96K80,Q9BYG3,1
Q13243,Q96K80,1
O43251,P79522,0
O60812,Q8WVV9,0
P98179,Q8WXA9,0
Q8N5P1,Q9NXG2,1
P63162,Q9BRL6,0
O75494,Q9GZT3,0
Q07955,Q7Z2W4,1
Q96K80,Q9NQZ3,0
Q13242,Q13247,0
Q86U06,Q9BRA0,0
P08621,Q8WXF0,1
P10155,P84103,1
P10155,P84103,1
Q53GL7,Q9H9Z2,0
Q15397,Q96K80,1
Q07955,Q9BYG3,1
Q13064,Q8WU68,0
Q13064,Q86V81,0
O43251,Q53GL7,0
P63162,Q7Z2W4,0
P04406,Q08170,0
Q92879,Q9Y4F3,0
O75152,P21399,0
P08621,P09012,1
Q13243,Q9H9Z2,1
Q13064,Q15365,0
Q05519,Q9BX46,0
Q9NR90,Q9Y2T7,0
Q07955,Q13243,1
P79522,Q13243,0
Q96K80,Q9BYG3,1
P60484,Q9H361,0
Q53GL7,Q86V81,0
O60812,O75152,1
Q16629,Q96PK6,0
Q9BRL6,Q9BX46,0
Q13243,Q96K80,1
P55795,Q9H361,0
Q07955,Q9BYG3,1
Q13243,Q15397,1
O60812,O75152,1
P55795,Q9UPN6,0
P84103,Q15397,1
Q13242,Q969L4,0
Q07955,Q13243,1
P21399,Q86U42,0
Q07955,Q15397,1
O95758,P41214,0
Q8N5P1,Q9H9Z2,1
Q7Z2T5,Q9H0J9,0
O15047,Q15415,0
P57052,Q08170,0
O60812,Q96K80,1
Q13243,Q9BTD8,0
P08621,P09012,1
Q07955,Q9BYG3,1
O75494,Q9NR90,0
P52597,Q14493,0
Q8WXF0,Q9H9Z2,1
Q15365,Q53GL7,0
O15047,Q8NDT2,0
O43251,Q9BYG3,0
P84103,Q08170,1
O60812,Q9BX46,0
P09012,P09651,0
P09012,P63162,1
O95218,Q92945,0
Q9NWB1,Q9UNW9,0
Q7Z2W4,Q9BYG3,1
Q8N5P1,Q9Y2T7,1
P84103,Q08170,1
P84103,Q15397,1
Q86U42,Q9H0J9,0
P21399,Q7Z2T5,0
Q9H9Z2,Q9UPN6,0
P79522,Q13247,0
Q08170,Q96K80,1
Q15397,Q9H9Z2,1
Q08170,Q96K80,1
P09651,Q9BZC1,0
P08621,Q86U42,0
Q05519,Q96PK6,0
P79522,Q8N5P1,1
Q05519,Q13242,1
P08621,Q9H361,0
Q8N5P1,Q9H9Z2,1
O75152,P84103,1
Q15397,Q9H9Z2,1
Q9H9Z2,Q9NXG2,1
Q8WXF0,Q9BRA0,0
Q05519,Q8WXF0,1
P48200,Q86U06,0
Q9NQZ3,Q9Y4F3,0
Q8N5P1,Q9NXG2,1
P26368,P41214,0
Q7Z2W4,Q9BYG3,1
Q9H9Z2,Q9NXG2,1
Q13247,Q9BRL6,0
Q15397,Q15415,0
Q9BYG3,Q9Y2T7,1
P60484,P84103,0
P04406,Q9H361,0
Q15397,Q9H9Z2,1
P60484,Q9BRL6,0
Q8N5P1,Q9H9Z2,1
P84103,Q15365,0
Q07955,Q13243,1
P26651,P41214,0
P84103,Q8WXF0,1
P98179,Q9UNW9,0
P09012,Q14151,0
O60812,P48200,0
Q9BYG3,Q9Y2T7,1
Q08170,Q8WXF0,1
Q8WVV9,Q92945,0
Q86V81,Q8N6W0,0
Q08170,Q9Y2T7,1
P08621,Q8WXF0,1
O60812,O75152,1
P0DJD3,Q9BX46,0
P48200,Q86V81,1
A6NDE4,Q9BX46,0
Q15397,Q9H9Z2,1
O15504,O75494,0
P79522,Q8N5P1,1
Q14151,Q9BX46,0
Q07955,Q15397,1
P84103,Q15397,1
O60812,O75152,1
Q13243,Q7Z2W4,1
Q15415,Q9UPT8,0
O60812,O75494,0
Q15397,Q9BWF3,1
Q92945,Q9BTD8,0
P60484,Q13247,0
O75152,Q14151,1
Q07955,Q13243,1
Q07955,Q13243,1
O95104,O95319,0
Q07955,Q8N5P1,1
O60812,Q96K80,1
Q13243,Q9H9Z2,1
Q13117,Q15415,0
P84103,Q08170,1
Q7Z2W4,Q96K80,1
Q08170,Q8WXF0,1
Q7Z2W4,Q9H9Z2,1
Q07955,Q13243,1
P48200,Q16600,0
Q05519,Q13242,1
P0DJD3,Q9BRA0,0
O60812,Q9BZC1,0
P09651,P98179,0
O43251,O75152,0
O15504,Q8N6W0,0
P09012,P63162,1
Q7Z2W4,Q9H9Z2,1
Q07955,Q8N5P1,1
Q92945,Q9UPS6,0
Q08170,Q9H0J9,0
Q86U42,Q8WXF0,0
Q15397,Q7Z2W4,1
Q13243,Q7Z2W4,1
Q01130,Q86SG3,0
P60484,Q92945,0
Q9H0L4,Q9H9Z2,0
P48200,Q96K80,0
O75494,P55795,0
Q96K80,Q9BYG3,1
O15541,Q16587,0
Q07955,Q13243,1
P84103,Q8WXF0,1
Q15397,Q9H9Z2,1
P08621,P09012,1
Q13247,Q8WU68,0
Q07955,Q13247,0
P09012,P79522,0
O43251,Q9H361,0
Q08170,Q9Y2T7,1
Q07955,Q15397,1
P63162,Q9H0L4,0
P84103,Q08170,1
O15047,Q9H9Z2,0
Q07955,Q7Z2W4,1
O75494,Q9BWF3,0
P79522,Q9H0J9,0
O60812,O75152,1
P08621,P63162,1
O75152,Q14151,1
Q9H0L4,Q9UPN6,0
Q07955,Q9BYG3,1
P41214,Q8N2M8,0
P0DJD3,Q9Y4F3,0
O95319,P57052,0
P04406,Q96QC0,0
Q8N6W0,Q9H0J9,0
P09012,Q8IWZ8,0
Q86U06,Q96QC0,0
P09012,P47974,0
P47974,P63162,0
O14979,Q9NQZ3,0
Q13243,Q9BRA0,0
Q9BYG3,Q9Y2T7,1
P48200,Q9H9Z2,1
A6NDE4,Q8WU68,0
Q13242,Q9UPT8,0
O14979,Q9UPN6,0
Q13243,Q9BYG3,1
Q99973,Q9Y2T7,0
Q96QC0,Q9H361,0
Q9BYG3,Q9H9Z2,1
Q460N5,Q9NQZ3,0
O15047,Q53GL7,0
Q86U06,Q9UNW9,0
O60812,Q8N5P1,0
P79522,Q8N5P1,1
P79522,Q8N5P1,1
O15504,Q14493,0
P04406,Q8WU68,0
Q16600,Q96K80,0
O95319,Q16629,0
P79522,Q7Z2W4,1
O95758,Q12872,0
P84103,Q08170,1
Q99973,Q9UPN6,0
Q8WXF0,Q9H9Z2,1
Q8N5P1,Q9NXG2,1
Q05519,Q13242,1
P09012,P63162,1
Q16587,Q9H0L4,0
Q9NWB1,Q9Y4F3,0
Q86SG3,Q8WXA9,0
Q9H9Z2,Q9NXG2,1
P09012,P41214,0
Q05519,Q13242,1
Q92945,Q9NXG2,0
P09012,P63162,1
O14979,Q8N6W0,0
Q8N5P1,Q9Y2T7,1
A6NDE4,Q86U06,0
Q96QC0,Q9H0J9,0
Q16629,Q9NXG2,0
P79522,Q7Z2W4,1
P09012,P63162,1
Q07955,Q15397,1
O15541,P63162,0
Q4VXU2,Q9BX46,0
O15541,Q53GL7,0
Q9BYG3,Q9H9Z2,1
P10155,P84103,1
P84103,Q08170,1
P04406,Q9BRL6,0
P79522,Q7Z2T5,0
Q05519,Q8WXF0,1
Q14151,Q14493,0
Q8N6W0,Q96K80,0
P10155,P84103,1
Q08170,Q13243,1
Q96K80,Q9BYG3,1
Q15397,Q9BWF3,1
Q96K80,Q9GZT3,0
Q15397,Q9BWF3,1
P48200,Q4VXU2,0
Q13243,Q9BYG3,1
O95319,Q7Z2W4,0
O15047,P63162,0
Q96K80,Q9BYG3,1
Q01130,Q9Y2T7,0
Q08170,Q8WXF0,1
P52597,Q8IX01,0
Q7Z2W4,Q9BYG3,1
Q15397,Q96K80,1
P09651,P84103,0
P60484,Q01130,0
Q15397,Q96K80,1
P84103,Q15397,1
Q15415,Q9H0L4,0
O43251,Q6ZN04,0
O60812,P10155,0
Q8IWZ8,Q9BYG3,0
Q7Z2W4,Q9BYG3,1
P26368,Q7Z2W4,0
Q9H9Z2,Q9NXG2,1
O43251,Q92945,0
Q8WXF0,Q9H9Z2,1
P08621,P09012,1
P57052,Q13242,0
O43251,O95104,0
Q7Z2W4,Q9H9Z2,1
P26368,Q9H9Z2,0
P79522,Q7Z2W4,1
P84103,Q15397,1
O75152,P84103,1
P10155,P84103,1
Q7Z2W4,Q96K80,1
Q15397,Q92879,0
P08621,P09012,1
P79522,Q01130,0
Q96J87,Q9BWF3,0
O15504,O95104,0
P79522,Q7Z2W4,1
Q07955,Q13243,1
P48200,Q86V81,1
P08621,Q86SG3,0
Q16600,Q9UPT8,0
Q8N6W0,Q9NXG2,0
O75152,P84103,1
Q15397,Q9BYG3,1
P48200,Q86V81,1
Q05519,Q8WXF0,1
Q5SZQ8,Q9BYG3,0
O15042,Q9NR90,0
P04406,Q01130,0
P47974,Q15397,0
Q05519,Q8WXF0,1
Q8N5P1,Q9NXG2,1
P84103,Q8WXF0,1
O43251,Q86U06,0
O75152,Q14151,1
O60812,O75152,1
P79522,P98179,0
P09012,P63162,1
O95319,Q05519,0
O60812,O95104,0
Q15397,Q9NQZ3,0
Q08170,Q9Y2T7,1
P63162,Q86U42,0
Q05519,Q13242,1
Q05519,Q15365,0
P09012,P63162,1
Q08170,Q96K80,1
O95319,Q9H0J9,0
Q53GL7,Q9H0J9,0
O15504,O95758,0
Q9NQS3,Q9UPN6,0
Q13242,Q9BTD8,0
Q13243,Q96K80,1
Q5SZQ8,Q9BRL6,0
P52597,Q9NXG2,0
Q13064,Q92945,0
P48200,Q86V81,1
P09012,P63162,1
Q15397,Q96K80,1
O95319,Q14493,0
Q8IX01,Q8WXF0,0
Q15397,Q9BYG3,1
Q15365,Q8WXA9,0
P08621,Q8WXF0,1
P10155,P84103,1
Q8WU68,Q969L4,0
Q9BX46,Q9BYG3,0
O75152,P84103,1
P84103,Q8WXF0,1
O15504,Q7Z2W4,0
Q7Z2W4,Q9BYG3,1
A6NDE4,Q9NQZ3,0
Q7Z2W4,Q9BYG3,1
P84103,Q96K80,0
O60812,O75152,1
O15541,P21399,0
Q9H9Z2,Q9NXG2,1
Q07955,Q15397,1
Q15397,Q9H9Z2,1
P79522,Q8N5P1,1
P10155,P84103,1
P21399,Q9UPN6,0
Q86TM3,Q9NR90,0
Q9BYG3,Q9H9Z2,1
Q7Z2W4,Q9BYG3,1
P84103,Q8WXF0,1
O15504,P26368,0
O15042,Q460N5,0
P48200,Q9H9Z2,1
Q15415,Q9NR90,0
A6NDE4,P09012,0
Q08170,Q13243,1
P48200,Q86V81,1
Q07955,Q9BYG3,1
P10155,P84103,1
Q8N6W0,Q9BX46,0
Q7Z2W4,Q9H9Z2,1
Q7Z2W4,Q9H9Z2,1
Q8NDT2,Q9UPS6,0
Q460N5,Q96K80,0
Q7Z2W4,Q96K80,1
O60812,Q9Y2T7,0
Q13243,Q7Z2W4,1
P63162,Q86V81,0
Q07955,Q9BYG3,1
Q8N5P1,Q9NXG2,1
Q05519,Q13242,1
Q86SG3,Q96QC0,0
P10155,P84103,1
Q05519,Q13242,1
Q9NR90,Q9NXG2,0
Q13243,Q15397,1
Q9NQZ3,Q9NXG2,0
P10155,Q86TM3,0
Q05519,Q13242,1
Q13243,Q96K80,1
Q08170,Q9Y2T7,1
O75152,Q14151,1
Q8N5P1,Q9NXG2,1
Q07955,Q8N5P1,1
Q86TM3,Q86U06,0
Q07955,Q7Z2W4,1
O15042,Q08170,0
Q9BYG3,Q9Y2T7,1
O95319,Q8WU68,0
P08621,P63162,1
P84103,Q08170,1
P04406,Q9NWB1,0
Q07955,Q13243,1
P98179,Q9BWF3,0
Q13243,Q9BYG3,1
P55795,Q9BRA0,0
Q14151,Q9Y2T7,0
O95319,Q9BZC1,0
Q92879,Q9BRA0,0
P08621,P09012,1
P57052,P79522,0
Q05519,Q08170,1
O60812,Q9BTD8,0
Q9BYG3,Q9UPT8,0
P08621,P09012,1
P0DJD3,P79522,0
Q8WXF0,Q9NXG2,0
Q9H9Z2,Q9NXG2,1
Q15397,Q96K80,1
O75494,Q9H0J9,0
Q08170,Q8IWZ8,0
Q99973,Q9GZT3,0
Q86TM3,Q8N6W0,0
Q07955,Q15397,1
Q15397,Q9BYG3,1
O15047,Q86U42,0
Q96K80,Q99973,0
Q08170,Q9Y2T7,1
Q13117,Q92879,0
P09012,P63162,1
P10155,Q86U42,0
Q15415,Q9H361,0
O60812,O75152,1
Q13243,Q9H9Z2,1
O15047,Q9BTD8,0
Q07955,Q15397,1
P52597,Q8NDT2,0
Q12872,Q9GZT3,0
Q13243,Q96K80,1
O95758,Q9H0L4,0
Q07955,Q7Z2W4,1
Q05519,Q9BTD8,0
Q86SG3,Q8IX01,0
P26368,Q9BZC1,0
Q96PK6,Q9UPT8,0
Q13242,Q86TM3,0
Q92945,Q9UNW9,0
Q07955,Q7Z2W4,1
P04406,Q9NXG2,0
Q05519,Q08170,1
Q86TM3,Q86V81,0
P84103,Q8N2M8,0
Q9NQZ3,Q9UPN6,0
Q07955,Q8N5P1,1
Q07955,Q13243,1
Q13243,Q86V81,0
Q9BYG3,Q9H9Z2,1
Q13247,Q969L4,0
Q9H9Z2,Q9NXG2,1
Q15397,Q9BYG3,1
P26651,Q8WU68,0
P0DJD3,Q9BWF3,0
Q96K80,Q9Y2T7,0
Q13243,Q9H9Z2,1
Q15397,Q96K80,1
O15042,P41214,0
A6NDE4,Q5SZQ8,0
O75152,Q14151,1
O95319,P09012,0
Q8WU68,Q9Y2T7,0
Q7Z2W4,Q9H9Z2,1
Q16600,Q8N6W0,0
P08621,P09012,1
O95319,Q9BYG3,0
P84103,Q8WXF0,1
Q7Z2W4,Q96K80,1
P04406,Q12872,0
Q08170,Q96K80,1
Q9BYG3,Q9H9Z2,1
Q15397,Q9H9Z2,1
P26368,P98179,0
P60484,Q9Y4F3,0
O60812,O75152,1
P10155,P84103,1
Q07955,Q9BYG3,1
P57052,P98179,0
O95758,P98179,0
O15541,Q8IX01,0
Q05519,Q08170,1
P84103,Q8WXF0,1
Q8WU68,Q9H9Z2,0
P63162,Q14493,0
Q14493,Q9UPT8,0
Q08170,Q13243,1
Q08170,Q96K80,1
P08621,P63162,1
O15042,O95319,0
P09012,P63162,1
Q9H361,Q9Y4F3,0
Q9H9Z2,Q9NXG2,1
O15047,Q9H0L4,0
Q05519,Q08170,1
P84103,Q08170,1
A6NDE4,O60812,0
P55795,Q92879,0
Q13243,Q15397,1
P08621,P63162,1
O15042,P21399,0
Q8IWZ8,Q9GZT3,0
Q15397,Q9BYG3,1
Q8N5P1,Q9Y2T7,1
P79522,Q7Z2W4,1
O15047,P10155,0
Q13247,Q9UPN6,0
O60812,O75152,1
P63162,Q8IWZ8,0
P84103,Q08170,1
Q08170,Q9Y2T7,1
Q13064,Q8N6W0,0
Q13243,Q9BYG3,1
Q86U42,Q8N2M8,0
Q7Z2W4,Q9BYG3,1
Q07955,Q13243,1
O60812,P60484,0
Q07955,Q7Z2W4,1
Q9BYG3,Q9Y2T7,1
Q13243,Q96K80,1
Q96K80,Q9BYG3,1
Q05519,Q08170,1
Q13243,Q7Z2W4,1
Q8N5P1,Q8WU68,0
Q9H9Z2,Q9NXG2,1
P48200,Q9H9Z2,1
Q08170,Q9GZT3,0
P08621,Q13242,0
Q8N5P1,Q9NXG2,1
P04406,P60484,0
Q13247,Q92879,0
P57052,P63162,0
O60812,Q96K80,1
Q08170,Q8WXF0,1
Q9H9Z2,Q9NXG2,1
P21399,Q15415,0
P10155,Q9NQS3,0
Q8N5P1,Q9NXG2,1
Q15397,Q7Z2W4,1
Q07955,Q8N5P1,1
Q53GL7,Q92945,0
Q99973,Q9UNW9,0
Q99973,Q9H361,0
Q7Z2W4,Q96K80,1
Q07955,Q8N5P1,1
O15541,P09651,0
Q15415,Q460N5,0
Q08170,Q9Y2T7,1
O60812,Q96K80,1
Q07955,Q8N5P1,1
O14979,P47974,0
Q08170,Q9UPT8,0
Q08170,Q9UPS6,0
Q9BYG3,Q9H9Z2,1
P08621,P63162,1
P04406,Q8NDT2,0
P08621,Q8WXF0,1
Q15397,Q9BYG3,1
Q13243,Q7Z2W4,1
P10155,Q16629,0
Q15397,Q7Z2W4,1
Q13064,Q9BRL6,0
Q8N5P1,Q9NXG2,1
O60812,O75152,1
Q12872,Q96PK6,0
Q96K80,Q9BYG3,1
Q13243,Q9BYG3,1
O75494,Q9NWB1,0
P08621,P09012,1
Q16629,Q5SZQ8,0
O75152,Q14151,1
Q15397,Q9BYG3,1
Q96PK6,Q9BRA0,0
P08621,P63162,1
Q7Z2T5,Q86TM3,0
P10155,P98179,0
Q96K80,Q9BYG3,1
P52597,Q9H361,0
P98179,Q92879,0
Q15397,Q9BYG3,1
Q460N5,Q6ZN04,0
Q9H9Z2,Q9NXG2,1
P10155,P79522,0
Q15397,Q9BZC1,0
P09012,Q9UPN6,0
P84103,Q08170,1
P60484,Q6ZN04,0
P09012,P63162,1
Q08170,Q96J87,0
Q08170,Q13243,1
P08621,P63162,1
Q9BYG3,Q9Y2T7,1
P47974,Q07955,0
P08621,P09012,1
P55795,Q14493,0
Q96QC0,Q9NWB1,0
Q08170,Q13243,1
P48200,Q86V81,1
Q96QC0,Q9BYG3,0
O15047,P21399,0
Q07955,Q7Z2W4,1
Q460N5,Q96PK6,0
P79522,Q8N5P1,1
O75152,Q14151,1
Q15397,Q9BWF3,1
P84103,Q8WXF0,1
P09012,P63162,1
P48200,Q9NQZ3,0
Q86SG3,Q9H0L4,0
Q13242,Q8N2M8,0
P09651,Q8IX01,0
Q13243,Q7Z2W4,1
Q13243,Q15397,1
Q16600,Q92879,0
Q13243,Q9BYG3,1
Q7Z2T5,Q86SG3,0
P09012,P63162,1
Q13243,Q460N5,0
Q13064,Q15415,0
P09012,P63162,1
P08621,Q8WXF0,1
Q15397,Q96K80,1
Q08170,Q13243,1
P63162,Q08170,0
Q05519,Q08170,1
Q8N5P1,Q8N6W0,0
P52597,Q8N2M8,0
Q05519,Q8WVV9,0
Q08170,Q9Y2T7,1
Q9NQZ3,Q9Y2T7,0
Q08170,Q13243,1
Q9BYG3,Q9BZC1,0
O95218,Q15415,0
Q7Z2W4,Q96K80,1
Q13243,Q9H361,0
P84103,Q15397,1
P84103,Q15397,1
P48200,Q86V81,1
Q05519,Q9GZT3,0
Q7Z2W4,Q96K80,1
Q07955,Q9BYG3,1
Q96K80,Q9BYG3,1
Q05519,Q08170,1
Q7Z2W4,Q96K80,1
Q01130,Q16600,0
Q08170,Q13243,1
Q4VXU2,Q8WXA9,0
P84103,Q08170,1
P52597,Q13243,0
O60812,Q16600,0
P79522,Q8N5P1,1
O15042,Q9UPS6,0
P26368,Q9UPT8,0
P79522,Q7Z2W4,1
Q16600,Q9NWB1,0
Q07955,Q13243,1
Q14493,Q7Z2W4,0
Q13117,Q5SZQ8,0
O75494,Q9BZC1,0
Q99973,Q9UPS6,0
Q13117,Q9UPT8,0
O15504,Q9BYG3,0
O15042,Q01130,0
Q92879,Q9BZC1,0
Q08170,Q9Y2T7,1
Q14493,Q9H361,0
P79522,Q7Z2W4,1
Q12872,Q13243,0
Q16600,Q9BWF3,0
Q53GL7,Q9BTD8,0
Q8N5P1,Q9H9Z2,1
P08621,Q8WXA9,0
Q07955,Q8N5P1,1
Q86TM3,Q9UPT8,0
Q14151,Q16629,0
O75152,P84103,1
Q15397,Q7Z2W4,1
Q13243,Q9BYG3,1
P48200,Q9H9Z2,1
P10155,P84103,1
Q53GL7,Q86U06,0
P79522,Q7Z2W4,1
Q13064,Q8IX01,0
Q7Z2W4,Q96K80,1
Q4VXU2,Q6ZN04,0
P48200,Q9H9Z2,1
P52597,Q05519,0
Q05519,Q08170,1
Q15397,Q4VXU2,0
P21399,Q8IWZ8,0
Q5SZQ8,Q9Y4F3,0
P09651,P21399,0
O75152,Q14151,1
P08621,P09012,1
Q05519,Q13242,1
P21399,P26368,0
Q16629,Q9BX46,0
O95218,Q13117,0
O15504,Q9GZT3,0
Q13243,Q96K80,1
P26651,Q96PK6,0
Q8N5P1,Q9H9Z2,1
O95104,Q86U06,0
Q08170,Q8WXF0,1
P79522,Q8N5P1,1
Q460N5,Q99973,0
Q8WXF0,Q9H9Z2,1
P09012,Q86U42,0
Q8IX01,Q9NXG2,0
P55795,Q86SG3,0
O60812,Q96K80,1
Q15397,Q9H9Z2,1
P08621,Q8WXF0,1
Q13243,Q9H9Z2,1
